97001,Antelope,,Clarno,OR,Wasco County,541
97002,Aurora,,Butteville,OR,Marion County,503
97004,Beavercreek,,,OR,Clackamas County,503
97005,Beaverton,,Progress,OR,Washington County,503
97006,Beaverton,"Aloha, Hillsboro",,OR,Washington County,"503,971"
97007,Beaverton,Aloha,Hillsboro,OR,Washington County,"503,971"
97008,Beaverton,,,OR,Washington County,"503,971"
97009,Boring,Damascus,,OR,Clackamas County,503
97010,Bridal Veil,,,OR,Multnomah County,971
97011,Brightwood,,,OR,Clackamas County,503
97013,Canby,,Barlow,OR,Clackamas County,503
97014,Cascade Locks,,Dodson,OR,Hood River County,541
97015,Clackamas,"Damascus, Happy Valley",Carver,OR,Clackamas County,503
97016,Clatskanie,"Birkenfeld, Westport",Mist,OR,Columbia County,503
97017,Colton,,,OR,Clackamas County,503
97018,Columbia City,,,OR,Columbia County,503
97019,Corbett,,,OR,Multnomah County,503
97020,Donald,,,OR,Marion County,503
97021,Dufur,Friend,,OR,Wasco County,541
97022,Eagle Creek,,Dover,OR,Clackamas County,503
97023,Estacada,,,OR,Clackamas County,503
97024,Fairview,,"Interlachen, Wood Village",OR,Multnomah County,503
97026,Gervais,,Saint Louis,OR,Marion County,503
97027,Gladstone,,,OR,Clackamas County,"503,971"
97028,Government Camp,"Government Cp, Timberline Lodge, Timbrline Ldg",,OR,Clackamas County,503
97029,Grass Valley,,,OR,Sherman County,541
97030,Gresham,,Damascus,OR,Multnomah County,503
97031,Hood River,,,OR,Hood River County,541
97032,Hubbard,,,OR,Marion County,503
97033,Kent,,,OR,Sherman County,541
97034,Lake Oswego,Rivergrove,"Lake Grove, Oswego, West Linn",OR,Clackamas County,503
97035,Lake Oswego,,"Lake Grove, Mountain Park",OR,Clackamas County,"503,509"
97036,Marylhurst,,,OR,Clackamas County,971
97037,Maupin,,Pine Grove,OR,Wasco County,541
97038,Molalla,,Liberal,OR,Clackamas County,503
97039,Moro,,,OR,Sherman County,541
97040,Mosier,,,OR,Wasco County,541
97041,Mount Hood Parkdale,Mt Hood Prkdl,"Mount Hood, Mount Hood-parkdale, Mt Hood, Parkdale",OR,Hood River County,"541,503"
97042,Mulino,,,OR,Clackamas County,503
97044,Odell,,,OR,Hood River County,541
97045,Oregon City,,Redland,OR,Clackamas County,503
97048,Rainier,Prescott,,OR,Columbia County,503
97049,Rhododendron,Zigzag,,OR,Clackamas County,503
97050,Rufus,,,OR,Sherman County,541
97051,Saint Helens,,St Helens,OR,Columbia County,"503,971"
97053,Warren,,,OR,Columbia County,503
97054,Deer Island,,,OR,Columbia County,503
97055,Sandy,,,OR,Clackamas County,503
97056,Scappoose,,,OR,Columbia County,503
97057,Shaniko,,,OR,Wasco County,541
97058,The Dalles,,"Celilo, Rowena",OR,Wasco County,541
97060,Troutdale,Wood Village,Springdale,OR,Multnomah County,503
97062,Tualatin,,,OR,Washington County,503
97063,Tygh Valley,Wamic,,OR,Wasco County,541
97064,Vernonia,,,OR,Columbia County,"503,971"
97065,Wasco,,"Biggs, Biggs Junction",OR,Sherman County,541
97067,Welches,,Wemme,OR,Clackamas County,503
97068,West Linn,,"W Linn, Wankers Corners, Willamette",OR,Clackamas County,"503,971"
97070,Wilsonville,,Charbonneau,OR,Clackamas County,"503,971"
97071,Woodburn,,Monitor,OR,Marion County,"503,971"
97075,Beaverton,,,OR,Washington County,503
97076,Beaverton,,,OR,Washington County,971
97077,Beaverton,,Tektronix,OR,Washington County,971
97078,Beaverton,First Consumers Nat Bank,,OR,Washington County,971
97080,Gresham,,Damascus,OR,Multnomah County,"503,971"
97086,Happy Valley,"Clackamas, Portland",,OR,Clackamas County,971
97089,Damascus,Boring,"Clackamas, Gresham, Happy Valley",OR,Clackamas County,
97101,Amity,,,OR,Yamhill County,"503,971"
97102,Arch Cape,,,OR,Clatsop County,503
97103,Astoria,,Tongue Point,OR,Clatsop County,503
97106,Banks,,,OR,Washington County,503
97107,Bay City,,,OR,Tillamook County,503
97108,Beaver,,,OR,Tillamook County,503
97109,Buxton,Banks,,OR,Washington County,503
97110,Cannon Beach,,,OR,Clatsop County,503
97111,Carlton,,,OR,Yamhill County,503
97112,Cloverdale,Beaver,,OR,Tillamook County,503
97113,Cornelius,,,OR,Washington County,"503,971"
97114,Dayton,,Grand Island,OR,Yamhill County,"503,971"
97115,Dundee,,,OR,Yamhill County,503
97116,Forest Grove,Glenwood,Verboort,OR,Washington County,503
97117,Gales Creek,,,OR,Washington County,503
97118,Garibaldi,,,OR,Tillamook County,503
97119,Gaston,,,OR,Washington County,503
97121,Hammond,,,OR,Clatsop County,503
97122,Hebo,,,OR,Tillamook County,503
97123,Hillsboro,Cornelius,"Orenco, Scholls",OR,Washington County,503
97124,Hillsboro,,"Helvetia, Orenco, West Union",OR,Washington County,"503,971"
97125,Manning,Banks,,OR,Washington County,503
